Timestamp,What faculty are you in?,What genres of music do you regularly listen to? (Please select all that apply),Do you listen to music when you study?,What music streaming service do you primarily use?,Who is your favourite artist/band right now?,"What is your favourite song right now? (Please follow an ""Artist - Song Title"" format)","What is your favourite album right now? (Please follow an ""Artist - Album"" format)",Have you attended any concerts / live music events in the past year?
5/12/2023 3:07:04,Environment,"Pop, Indie, EDM, Rock",Sometimes,Spotify,Lana Del Rey,isaac winemiller - too good to be true,SZA - SOS,Yes
5/12/2023 3:18:38,Mathematics,"Hip-Hop / Rap, R&B, Pop",Yes,Spotify,The Weeknd,The Weeknd - Gasoline,The Weeknd - Dawn FM,Yes
5/12/2023 3:27:08,Mathematics,"Hip-Hop / Rap, Pop, Indie, Rock, Jazz",Yes,Spotify,The Strokes,Gustavo Cerati - Tabu ,Bjork - Post,No
5/12/2023 3:53:08,Mathematics,Video game ost,Sometimes,Youtube,,,,No
5/12/2023 3:56:25,Mathematics,"Pop, Indie, Rock",Sometimes,Spotify,Foo Fighters ,Foo Fighters - Everlong,,No
5/12/2023 3:57:45,Science,"Hip-Hop / Rap, R&B",Sometimes,Spotify,Giveon,Daniel Caesar and Summer Walker - Always,Giveon - Give or Take,No
5/12/2023 4:04:09,Engineering,"Hip-Hop / Rap, R&B, Rock, Jazz",Yes,I store music locally lmao,The Strokes,Vince Staples - The Blues,Fontaines D.C. - Skinty Fia,No
5/12/2023 4:05:07,Mathematics,"Classical, Rock, Metal",Sometimes,Spotify,Motley cruie,Yes - Roundabout ,,No
5/12/2023 4:30:28,Mathematics,"Hip-Hop / Rap, R&B",No,Spotify,Yeat,Yeat - Sum 2 do,Travis Scott - astroworld,No
5/12/2023 4:31:44,Environment,"Pop, Indie, EDM, Rock, Lofi",Yes,Spotify,Daft Punk,,Daft Punk - Random Access Memories,No
5/12/2023 4:40:18,Health,"Hip-Hop / Rap, R&B, Pop, Indie",Yes,Spotify,Pink Pantheress,Metro Boomin and Travis Scott - Trance,Pink Pantheress - to hell with it,Yes
5/12/2023 4:40:38,Engineering,Soundtrack ,Sometimes,Spotify,,,,No
5/12/2023 4:46:42,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, EDM, Classical, Rock",Sometimes,Spotify,Carly Rae Jepsen,"Kendrick Lamar - Sing About Me, I’m Dying Of Thirst",Nas - Illmatic,No
5/12/2023 4:48:16,Science,"Classical, Folk",Yes,YouTube Music,Colm mcGuinness,Ed Sheeran - I see fire,Faun - Renaissance,No
5/12/2023 5:09:31,Mathematics,"K-Pop, jpop",Sometimes,Spotify,Ive,,,No
5/12/2023 5:51:46,Arts,"R&B, Indie, Classical",Yes,Spotify,Glass Animals,Glass Animals - Exxus,Lovejoy - Wake Up & Its Over,No
5/12/2023 5:53:04,Science,"Hip-Hop / Rap, R&B, Pop, Indie, Rock, Lofi",Yes,Spotify,The 1975,Lorde - California,The 1975 - Being Funny In A Foreign Language,Yes
5/12/2023 6:06:21,Arts,"Pop, Indie",Yes,Spotify,Declan McKenna ,Sarah and the Sundays - Ruby Fields ,George Ezra - Wanted on a Voyage ,Yes
5/12/2023 6:16:05,Engineering,"R&B, Pop, Indie, Country, Rock",Yes,Spotify,Arctic Monkeys,Arctic Monkeys - Mardy Bum,"Arctic Monkeys - Whatever people say I am, that's what I'm not",No
5/12/2023 6:16:15,Science,"Pop, EDM",Yes,Spotify,,,,No
5/12/2023 6:25:15,Mathematics,"Hip-Hop / Rap, R&B, Pop, Classical, Lofi, Bedroom Pop",Sometimes,Spotify,NIKI,NIKI - Backburner,NIKI - Nicole,Yes
5/12/2023 6:29:06,Engineering,"Indie, Rock",Sometimes,YouTube Music,Bob dylan,Alabama shakes - i found you,The Beatles - Abbey road,Yes
5/12/2023 6:32:51,Mathematics,"Pop, Indie, Rock, Metal",Yes,Spotify,Oingo Boingo,Oingo Boingo - Private Life,System of a Down - Toxicity,Yes
5/12/2023 6:46:55,Engineering,"Pop, Indie, EDM, Lofi",Yes,Spotify,EDEN,EDEN - Call Me Back,Porter Robinson - Nurture,Yes
5/12/2023 6:48:26,Mathematics,"Hip-Hop / Rap, R&B, Pop, K-Pop, J-Pop",Sometimes,Spotify,Kenshi Yonezu,Kenshi Yonezu - Lemon,Kenshi Yonezu - BOOTLEG,No
5/12/2023 6:48:59,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie",Sometimes,Spotify,Frank Ocean,Frank Ocean - Swim Good,Blond - Frank Ocean,No
5/12/2023 6:49:57,Engineering,"R&B, EDM, Lofi",Yes,YouTube Music,Keshi,Keshi - 2 Soon,Calvin Harris - Motion,No
5/12/2023 7:06:08,Arts,"Pop, K-Pop, Lofi, J-Pop",Yes,Spotify,Yoasobi,Yoasobi - Idol,,No
5/12/2023 7:07:40,Arts,"R&B, Pop, Country, Classical, K-Pop, Rock, Jazz",Sometimes,Spotify,,,,No
5/12/2023 7:23:25,Engineering,"Pop, Indie, Rock",Sometimes,Spotify,Ed sheeran,Fun. - carry on,Ed sheeran - divide,No
5/12/2023 7:24:48,Engineering,"Pop, Indie, Rock",Yes,Spotify,Phoebe Bridgers ,Phoebe Bridgers - Graceland Too,Taylor Swift - Evermore,No
5/12/2023 7:25:33,Science,"R&B, Pop, K-Pop, Lofi",Sometimes,Spotify,,,,No
5/12/2023 7:27:23,Science,"Pop, Lofi, J-Pop",No,,,,,No
5/12/2023 7:37:34,Engineering,"Pop, Indie, Classical, Opera ",Sometimes,YouTube Music,Lorde,Tame Impala - The Less I Know the Better ,Lorde - Pure Heroin,Yes
5/12/2023 7:47:58,Engineering,"Hip-Hop / Rap, R&B, Pop",Sometimes,Spotify,The weeknd ,The Weekend - Double Fantasy,Lana del ray - Did You Know That There's a Tunnel Under Ocean Blvd,No
5/12/2023 8:00:17,Environment,"Pop, Rock",Yes,Spotify,Oasis,Oasis - Some Might Say,Oasis - (What’s the Story) Morning Glory?,No
5/12/2023 8:12:52,Arts,"Hip-Hop / Rap, R&B, Pop, Indie, Rock, Lofi",Sometimes,Apple Music,,,,Yes
5/12/2023 8:14:31,Mathematics,Hip-Hop / Rap,Sometimes,Apple Music,Nas,Nas - The Art of It,Nas - Illmatic,No
5/12/2023 8:19:05,Engineering,"R&B, Pop, Indie, K-Pop",Yes,Spotify,back number,NCT DREAM - Candy,Agust D - D2,Yes
5/12/2023 8:20:14,Mathematics,"R&B, Pop, Indie, EDM, K-Pop, Jazz, Lofi",Yes,Spotify,Kanye West ,Kanye West - Diamonds From Sierra Leone,Kanye West - Late Registration,No
5/12/2023 8:23:45,Mathematics,"Hip-Hop / Rap, R&B, Pop, Classical, Rock, Jazz, house ",Yes,YouTube Music,modjo,Modjo - Lady,,Yes
5/12/2023 8:28:12,Mathematics,"Hip-Hop / Rap, Pop, Country, EDM",No,Spotify,Drake,Sza - Kill Bill,Pink Floyd - Dark Side of the Moon,No
5/12/2023 8:31:31,Mathematics,Alternative. Surf. Folk. 80s. Power pop. Punk. Reggae. Ska.,Yes,None. CDs. LPs. MP3s.,The Stranglers,Smiths - How Soon is Now,Beatles - Revolver,Yes
5/12/2023 8:32:06,Engineering,"Indie, EDM, Rock, Lofi",Yes,Spotify,Radiohead,,Radiohead - In Rainbows,Yes
5/12/2023 8:33:43,Engineering,"EDM, Rock, vgm",Sometimes,Spotify,,,,Yes
5/12/2023 8:33:56,Arts,Bollywood,Yes,Spotify,AP Dhillon,AP Dhillon - Excuses,,No
5/12/2023 8:34:20,Engineering,"Hip-Hop / Rap, Pop, Indie, Rock, Lofi",Sometimes,Spotify,Radiohead,Radiohead - The Daily Mail,Radiohead - OK Computer,No
5/12/2023 8:36:43,Arts,"Indie, EDM",No,YouTube Music,,,,Yes
5/12/2023 8:38:37,Engineering,"Pop, Rock",Sometimes,Spotify,Bastille ,Bastille - Shut off the lights,Bastille - Give me the future ,Yes
5/12/2023 8:42:26,Mathematics,"Hip-Hop / Rap, Pop, Lofi",Sometimes,Spotify,Jay Z,Justin Timberlake - 4 Minutes,,No
5/12/2023 8:43:45,Mathematics,"Pop, K-Pop, Rock, Lofi, Metal",Sometimes,Spotify,Sabaton ,,,No
5/12/2023 8:50:30,Science,Metal,Sometimes,"None, I own DRM free music",Gojira,Gojira - Oroborus,Vektor - Terminal Redux,Yes
5/12/2023 8:50:34,Science,"Hip-Hop / Rap, R&B, Afrobeats",Yes,Spotify,Burna Boy,Burna Boy - Gbona,"Love, Damini",Yes
5/12/2023 8:54:25,Engineering,Hip-Hop / Rap,Sometimes,Spotify,Dave,"Nines, Clavish, Nafe Smallz - Different League",Dave - We're All Alone in This Together,No
5/12/2023 8:55:11,Mathematics,"Pop, Classical, Rock",Sometimes,Spotify,,,,No
5/12/2023 8:57:28,Health,"Hip-Hop / Rap, R&B, Pop, Indie, Country, EDM, Lofi",Sometimes,Spotify,,,,No
5/12/2023 8:58:28,Arts,Pop,Sometimes,Spotify,,,,Yes
5/12/2023 9:02:52,Environment,"Pop, Indie, EDM, K-Pop, Rock",Yes,Spotify,Hemlocke Springs,Teen Ravine - Friend of a Friend,The Aces - Volcanic Love,No
5/12/2023 9:04:16,Mathematics,"R&B, Pop, Indie, EDM",No,Spotify,Fells,Midnight Kids - Out of Time ,ILLENIUM - ILLENIUM,Yes
5/12/2023 9:04:36,Mathematics,"Pop, Indie, Rock, Lofi",Yes,YouTube Music,Porter Robinson,JAWNY - Adios,Bowling For Soup - A Hangover You Don't Deserve,No
5/12/2023 9:05:00,Mathematics,"Hip-Hop / Rap, Pop, Classical, Jazz, Lofi",Sometimes,Spotify,,,,No
5/12/2023 9:10:06,Engineering,"Hip-Hop / Rap, Pop, Indie, Country, Classical, Rock, Jazz",Yes,Spotify,Eagles,Eagles - Lyin' Eyes,The Strokes - The New Abnormal,Yes
5/12/2023 9:11:45,Engineering,"R&B, K-Pop, Lofi",Yes,Spotify,BTS,"Le sserafim - Eve, Psyche & the Bluebeard's wife",SUGA - DDay,Yes
5/12/2023 9:12:59,Engineering,"Hip-Hop / Rap, Rock, Alternative Rock ",Sometimes,Spotify,Linkin Park ,Linkin Park - Lost,Linkin Park - Hybrid Theory ,Yes
5/12/2023 9:13:58,Engineering,"Hip-Hop / Rap, Pop, K-Pop",Yes,Spotify,"Tyler, The Creator",Yebba - Far Away,"Tyler, The Creator - CALL ME IF YOU GET LOST",No
5/12/2023 9:14:23,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, K-Pop, Lofi",Yes,Spotify,Chris james,Chris James - OH!,,No
5/12/2023 9:20:04,Mathematics,"Pop, K-Pop, Jazz",Sometimes,Spotify,Lydia Ganada,,,No
5/12/2023 9:22:38,Science,"Pop, K-Pop",No,YouTube Music,,,,No
5/12/2023 9:26:04,Engineering,"Hip-Hop / Rap, R&B, Pop, Indie, Rock",Sometimes,Spotify,Taylor Swift,Joywave - Traveling at the Speed of Light,Taylor Swift - Speak Now,No
5/12/2023 9:29:12,Engineering,"Hip-Hop / Rap, R&B, Pop, Indie, Country",Sometimes,Apple Music,,,,No
5/12/2023 9:29:14,Arts,"R&B, Country, Lofi",No,YouTube Music,,,,Yes
5/12/2023 9:34:44,Environment,"Pop, Indie, Rock",Yes,Spotify,blink-182,The Killers - Mr. Brightside,Weezer - Pinkerton,No
5/12/2023 9:35:32,Mathematics,"Hip-Hop / Rap, Pop, Indie, Country, EDM, Classical, Rock",Yes,Spotify,,,,No
5/12/2023 9:40:43,Arts,"Pop, Indie, Rock, Alternative",Yes,Spotify,Glass Animals,Blackbear - dead inside,Glass Animals - Dreamland,No
5/12/2023 9:41:33,Science,"Hip-Hop / Rap, R&B, Pop, Indie, Country, K-Pop, Rock, Jazz, Lofi",Yes,Spotify,,,,Yes
5/12/2023 9:42:51,Arts,"Indie, EDM, Rock",Sometimes,Spotify,They Might Be Giants,Sweat - Oingo Boingo,Oingo Boingo - Good For Your Soul,Yes
5/12/2023 9:47:30,Arts,"Classical, K-Pop, Musicals",Sometimes,Spotify,Seventeen,Seventeen - Super,,No
5/12/2023 9:48:15,Mathematics,"Indie, Classical, Metal",Sometimes,Spotify,,,,No
5/12/2023 9:48:17,Engineering,"Hip-Hop / Rap, R&B, Pop, Indie, Classical, K-Pop, Jazz, Lofi",Yes,Spotify,,,,No
5/12/2023 9:53:24,Engineering,Rock,No,Spotify,Toto,,Rush - 2112 ,No
5/12/2023 9:56:57,Engineering,"Hip-Hop / Rap, R&B",Yes,Spotify,,,,Yes
5/12/2023 10:01:07,Mathematics,"Hip-Hop / Rap, Rock, Jazz",Sometimes,Spotify,billy woods,billy woods - Remorseless,Navy Blue - Ways of Knowing,Yes
5/12/2023 10:01:47,Mathematics,"Hip-Hop / Rap, R&B, Pop, EDM, Rock",Sometimes,Spotify,Saint Jhn,Angus & Julia Stone - A Heartbreak ,Common - Be,Yes
5/12/2023 10:08:38,Mathematics,"Hip-Hop / Rap, Indie, EDM, Classical, Rock",Sometimes,Spotify,Arctic monkeys,Analog batalon - zserbóglopp,Arctic monkeys - Favourite worst nightmare ,No
5/12/2023 10:10:49,Mathematics,Classical,Yes,Downloaded music,Edvard Grieg,Edvard Grieg - Cello Sonata in A Minor,Hilary Hahn - Eclipse,No
5/12/2023 10:18:29,Science,"Rock, Metal",Yes,Spotify,Dream Theatre,Dream Theatre - Metropolis Part I: “The Miracle and The Sleeper”,Dream Theatre - Metropolis Pt. 2: Scenes from a Memory ,No
5/12/2023 10:20:17,Mathematics,"Hip-Hop / Rap, R&B, Classical, Jazz, Lofi",Sometimes,Spotify,,,,No
5/12/2023 10:24:01,Engineering,"R&B, Pop, Indie, Rock, Jazz",Sometimes,Spotify,Alvvays,Courtney Barnett - Avant Gardener,Alvvays - Blue Rev,No
5/12/2023 10:25:00,Mathematics,Rock,No,Apple Music,,,,No
5/12/2023 10:26:30,Arts,"Hip-Hop / Rap, R&B",Sometimes,Spotify,Drake and Central Cee,The Game - Red Nation,Eminem - Recovery,No
5/12/2023 10:36:44,Engineering,K-Pop,Sometimes,Spotify,Itzy,Momoland - Bboom bboom,,No
5/12/2023 10:38:52,Environment,"Hip-Hop / Rap, Indie, Folk",Yes,Spotify,Weyes Blood,Jpegmafia - Steppa Pig,"Weyes Blood - And In The Darkness, Hearts Aglow",No
5/12/2023 10:47:10,Engineering,"Hip-Hop / Rap, EDM, Classical, Rock, Lofi, J-pop",Sometimes,Spotify,Minami,Minami - Hollowness,Tomppabeats - Harbor,Yes
5/12/2023 10:53:59,Engineering,"Pop, Indie, Rock",Sometimes,Spotify,Alvvays,Alvvays - Belinda Says,Alvvays - Blue Rev,Yes
5/12/2023 10:55:47,Mathematics,"Hip-Hop / Rap, R&B, Indie",Yes,Spotify,Isaiah Rashad,Chief Keef - Bitch Where,Smino - Luv 4 Rent,No
5/12/2023 11:02:48,Mathematics,"Hip-Hop / Rap, Pop, EDM, K-Pop, Rock, Jazz, Lofi",Yes,Spotify,Kessoku Band,DAZBEE - Bambi,Kessoku Band - Kessoku Band,No
5/12/2023 11:04:35,Engineering,"Indie, Jazz, Lofi",Yes,Spotify,That band Honey.,Paramore - Caught in the Middle,Janelle Marie Serote - xoxo,No
5/12/2023 11:05:04,Mathematics,"Hip-Hop / Rap, R&B, Jazz",Yes,Spotify,Kanye West,Ghostface killah - here i go again,,No
5/12/2023 11:07:23,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, EDM",Sometimes,Spotify,6lack,Young Thug- Sin,Metro Boomin- Not all heroes wear capes,Yes
5/12/2023 11:11:56,Engineering,"Hip-Hop / Rap, R&B, Pop",Sometimes,Spotify,Erykah badu,On & on - Erykah badu,,No
5/12/2023 11:15:54,Science,Classical,Sometimes,YouTube Music,Beethoven,Beethoven - symphony no. 7,Christopher Tin - Calling all Dawns,Yes
5/12/2023 11:17:26,Arts,"Hip-Hop / Rap, R&B, Pop, Indie, Classical, Jazz, Lofi, War music",Sometimes,Spotify,Biagio Farina,,,No
5/12/2023 11:28:39,Science,Pop,No,Spotify,Harry styles ,Ewan Mcgregor and Nicole Kidman - Come What May,Harry styles - Harry styles,Yes
5/12/2023 11:32:42,Engineering,"Hip-Hop / Rap, Pop, EDM, Jazz, Lofi",Sometimes,Spotify,Illenium,Lil Baby - Low Down,Illenium - Awake,No
5/12/2023 11:35:32,Engineering,"Indie, Country",Yes,Spotify,The Lumineers,The Lumineers - Walls,The Lumineers - Cleopatra,Yes
5/12/2023 11:51:58,Engineering,"Rock, Jazz",Yes,Spotify,The Strokes,Sungazer - Macchina,The Strokes - The New Abnormal,Yes
5/12/2023 11:52:15,Mathematics,"Hip-Hop / Rap, R&B, Country, Classical, Jazz",Sometimes,Apple Music,Mac Miller,Mac Miller - Colors and Shapes,Mac Miller - Circles,Yes
5/12/2023 11:55:23,Environment,"Hip-Hop / Rap, R&B, Pop, Indie",Yes,Spotify,RPT MCK,RPT MCK - Thoi Em Dung Di,RPT MCK - 99%,Yes
5/12/2023 11:57:36,Mathematics,"EDM, ",Yes,YouTube Music,Armin van Buuren,Above & Beyond - Sun & Moon,BT - The Lost Art of Longing,No
5/12/2023 11:58:46,Mathematics,EDM,Yes,YouTube Music,deadmau5,Above & Beyond vs. Armin van Buuren - Show Me Love,,No
5/12/2023 12:06:42,Mathematics,"EDM, Classical, K-Pop, Lofi, Orchestral, video game soundtracks, J-pop",Sometimes,Spotify,Thomas Bergersen,Natori - Overdose,Thomas Bergersen - Humanity Chapter V,No
5/12/2023 12:10:31,Environment,"R&B, Pop",Sometimes,Spotify,,,,
5/12/2023 12:20:04,Mathematics,J-Pop,Sometimes,,Nanahira,,,No
5/12/2023 12:22:52,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie",Yes,Apple Music,Tame Impala,Thundercat & Tame Impala - No More Lies,Vince Staples - RAMONA PARK BROKE MY HEART,No
5/12/2023 12:24:37,Mathematics,"EDM, Classical, Rock",No,Spotify,Frederic Chopin,Chopin - Ballade no.4,Daft Punk - Random Access Memories,Yes
5/12/2023 12:26:04,Mathematics,"Indie, EDM, Rock, Lofi, Sytnthwave",Yes,Spotify,Young the Giant,Two Door Cinema Club - Sun,Khalid - American Teen,No
5/12/2023 12:26:47,Arts,"R&B, Pop, K-Pop, Jazz, Lofi",Sometimes,,Maye,Saint Motel - My Type,,No
5/12/2023 12:29:27,Mathematics,"R&B, Pop, Indie, K-Pop, Jazz, Jpop",Yes,Spotify,Fujii Kaze,,,No
5/12/2023 12:35:32,Engineering,"K-Pop, Rock",Yes,Spotify,,,,No
5/12/2023 12:39:52,Mathematics,"Hip-Hop / Rap, R&B, Pop, K-Pop, Lofi",Yes,Spotify,Joji,Joji - 777,TWICE - READY TO BE,Yes
5/12/2023 12:51:19,Engineering,"Hip-Hop / Rap, Pop, EDM, Classical, K-Pop, Lofi, Future Bass",Yes,Spotify,Miraie,蒋小呢 - for ya,Drake - Certified Lover Boy,No
5/12/2023 12:51:37,Engineering,"Indie, Classical, Rock",Sometimes,pirated mp3s,,,,Yes
5/12/2023 13:03:37,Mathematics,"Hip-Hop / Rap, Pop, Indie, EDM, K-Pop, Rock, Lofi",Yes,Spotify,Reliqa,Venjent - R u gonna move,Saint motel - saintmotelevision,No
5/12/2023 13:04:28,Mathematics,"Hip-Hop / Rap, Pop, Indie, EDM, K-Pop, Rock",Sometimes,Spotify,Death Grips,Death Grips - Beware,Mac Demarco - 2,No
5/12/2023 13:07:13,Science,"Indie, EDM, Rock",Yes,I don't really use any of the above. Just torrent mp3s for the most part,Billy Talent,I Am Water - July Talk,Metric - Formentera,Yes
5/12/2023 13:08:12,Engineering,"Hip-Hop / Rap, Pop, Indie, Classical, Rock",Yes,Spotify,,,,No
5/12/2023 13:11:00,Science,"Hip-Hop / Rap, Pop, Indie, K-Pop",Sometimes,Spotify,PVRIS,PVRIS - Stay Gold,,No
5/12/2023 13:11:42,Science,"Pop, Indie, EDM, Lofi",Yes,Spotify,Porter Robinson ,Lionhearted - Porter Robinson ,Glass Animals - ZABA,Yes
5/12/2023 13:11:55,Engineering,R&B,No,Spotify,Brent Faiyaz,Rolling Stone - Brent faiyaz ,Brent Faiayaz - Wasteland,Yes
5/12/2023 13:13:08,Science,"Hip-Hop / Rap, R&B, Pop",Sometimes,Spotify,,,,No
5/12/2023 13:13:32,Mathematics,"R&B, Pop",Yes,Spotify,Keshi,Keshi - Angel,Brakence - Hypochondriac,Yes
5/12/2023 13:14:12,Arts,"R&B, Pop, K-Pop, Rock, Jazz, Lofi",Yes,Spotify,Aweigh,Keshi - Bandaids,Taylor Swift - Evermore,Yes
5/12/2023 13:14:17,Arts,"Hip-Hop / Rap, Pop, Indie, EDM, Rock, metal, whatever king gizzard and the lizard wizard are",Yes,Spotify,rammstein,käärijä - cha cha cha,rammstein - rammstein,No
5/12/2023 13:15:44,Mathematics,"Pop, Indie, Classical, Rock, Prog Rock",Yes,Spotify,Bastille,Bastille - Family Ties,Lonely Robot - Please Come Home,Yes
5/12/2023 13:16:09,Environment,"Hip-Hop / Rap, Indie, Rock, ",Yes,Spotify,Still Woozy,Saya Gray - SHALLOW,"Still Woozy - If this isn't nice, I don't know what is",Yes
5/12/2023 13:17:29,Engineering,"Hip-Hop / Rap, R&B, Pop, EDM, K-Pop, Lofi",No,YouTube Music,BTS,BTS - Fake Love,,Yes
5/12/2023 13:19:05,Health,"R&B, Pop, Rock",Yes,Spotify,Nirvana,Billy Joel - Movin' Out,Radiohead - In Rainbows,Yes
5/12/2023 13:22:55,Arts,"Hip-Hop / Rap, R&B, Indie, Jazz, Lofi",Sometimes,Spotify,Hiatus Kaiyote,Yussef Dayes - For My Ladies,Tyler the Creator - Flower Boy,Yes
5/12/2023 13:25:21,Environment,"Indie, Classical",Yes,YouTube Music,Half Alive,"Franz Liszt - S.140, Études d'exécution transcendante d'après Paganini (Petrov)","Half Alive - Now, Not Yet",Yes
5/12/2023 13:25:27,Mathematics,"Hip-Hop / Rap, R&B, Pop",Sometimes,Apple Music,,,,
5/12/2023 13:26:17,Engineering,"Hip-Hop / Rap, R&B, Pop, K-Pop, Lofi, Both english and korean r&b",Sometimes,Spotify,BIBI,fifty fifty - cupid,BIBI - Lowlife princess: noir,No
5/12/2023 13:37:20,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, Classical, K-Pop",Sometimes,YouTube Music,,,,No
5/12/2023 13:38:49,Science,"Pop, Indie, Rock",Sometimes,Spotify,The Who,The Who - Won't Get Fooled Again ,Lovejoy - Wake Up & It's Over,No
5/12/2023 13:38:52,Science,"Rock, metalcore/deathcore/metal",Yes,Spotify,architects ,cardinal - marionette ,,Yes
5/12/2023 13:39:02,Mathematics,"R&B, Pop, Indie, K-Pop, Rock, Lofi",Sometimes,QQ music,BTS,XG - Shooting Star,DPR IAN - Moodswings in to order,Yes
5/12/2023 13:45:54,Mathematics,"R&B, Pop, Rock, Jazz",Yes,YouTube Music,Porcupine Tree,David Tao - Do I Do I,Slipknot - Vol. 3: (The Subliminal Verses),Yes
5/12/2023 13:47:06,Engineering,Pop,No,Spotify,,,,Yes
5/12/2023 13:52:07,Mathematics,"Hip-Hop / Rap, Jazz, Lofi, Bollywood, Retro Bollywood ",Sometimes,Spotify,The Weeknd,"Rema, Selena Gomez - Calm Down",Pritam - Brahmastra,No
5/12/2023 13:52:26,Engineering,"Country, Rock",Yes,Spotify,,,,
